ref_date,year,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,tax_revenue_100m_cny,non_tax_revenue_100m_cny,total_revenue_100m_cny,expenditure_100m_cny,deficit_100m_cny,debt_balance_100m_cny,debt_to_gdp_pct,fiscal_balance_pct_gdp,transfer_payment_100m_cny,social_security_100m_cny,source_org,release_date,data_status
2016-01-01,2016,national,CN,中国,,,175982.58,40017.42,216000,278000,62000.0,680000,91.382,-8.332,50958.11,71991.11,财政部,2016-04-20,final
2016-01-01,2016,region,CN-R-NC,华北,CN,中国,22361.23,4252.12,26613.35,37208.95,10595.6,81893.54,90.554,-11.716,7441.72,10542.47,财政部,2016-04-20,final
2016-01-01,2016,region,CN-R-NE,东北,CN,中国,8263.83,1911.03,10174.86,14439.79,4264.93,30059.52,88.325,-12.532,2899.08,3675.62,财政部,2016-04-20,final
2016-01-01,2016,region,CN-R-EC,华东,CN,中国,67839.44,18126.89,85966.33,108330.61,22364.28,264280.84,88.139,-7.459,20177.22,27950.91,财政部,2016-04-20,final
2016-01-01,2016,region,CN-R-CC,华中,CN,中国,24768.16,4266.5,29034.66,37274.21,8239.55,92227.59,96.875,-8.655,6038.58,8966.74,财政部,2016-04-20,final
2016-01-01,2016,region,CN-R-SC,华南,CN,中国,21768.56,5794.5,27563.06,33975.36,6412.3,93895.08,98.769,-6.745,6744.18,8419.82,财政部,2016-04-20,final
2016-01-01,2016,region,CN-R-SW,西南,CN,中国,20461.5,3784.73,24246.23,30115.16,5868.93,81303.44,93.3,-6.735,4950.95,9137.27,财政部,2016-04-20,final
2016-01-01,2016,region,CN-R-NW,西北,CN,中国,10519.86,1881.66,12401.52,16655.91,4254.39,36339.99,85.702,-10.033,2706.39,3298.29,财政部,2016-04-20,final
2016-01-01,2016,province,CN-BJ,北京,CN-R-NC,华北,6802.44,1125.7,7928.14,11625.97,3697.83,25724.02,96.74,-13.906,2358.58,3158.4,财政部,2016-04-20,final
2016-01-01,2016,province,CN-TJ,天津,CN-R-NC,华北,2442.35,639.64,3081.99,4447.74,1365.75,9480.34,86.831,-12.509,585.0,1502.65,财政部,2016-04-20,final
2016-01-01,2016,province,CN-HE,河北,CN-R-NC,华北,6586.86,1294.88,7881.74,10466.74,2585.0,22390.63,81.897,-9.455,2360.39,3026.34,财政部,2016-04-20,final
2016-01-01,2016,province,CN-SX,山西,CN-R-NC,华北,3996.29,655.42,4651.71,6576.24,1924.53,15047.42,99.713,-12.753,1256.17,1705.39,财政部,2016-04-20,final
2016-01-01,2016,province,CN-NM,内蒙古,CN-R-NC,华北,2533.3,536.46,3069.76,4092.26,1022.5,9251.14,88.136,-9.741,881.59,1149.69,财政部,2016-04-20,final
2016-01-01,2016,province,CN-LN,辽宁,CN-R-NE,东北,4223.57,962.76,5186.33,7171.75,1985.42,15703.17,90.129,-11.395,1449.87,1556.34,财政部,2016-04-20,final
2016-01-01,2016,province,CN-JL,吉林,CN-R-NE,东北,1628.4,341.32,1969.72,2732.82,763.1,5465.66,78.868,-11.011,434.53,745.35,财政部,2016-04-20,final
2016-01-01,2016,province,CN-HL,黑龙江,CN-R-NE,东北,2411.86,606.95,3018.81,4535.22,1516.41,8890.69,91.847,-15.666,1014.67,1373.92,财政部,2016-04-20,final
2016-01-01,2016,province,CN-SH,上海,CN-R-EC,华东,6237.63,1540.9,7778.53,9566.17,1787.64,24698.64,88.91,-6.435,1418.14,2484.98,财政部,2016-04-20,final
2016-01-01,2016,province,CN-JS,江苏,CN-R-EC,华东,16152.84,6111.72,22264.56,29882.14,7617.58,65871.42,88.266,-10.207,6465.1,7842.86,财政部,2016-04-20,final
2016-01-01,2016,province,CN-ZJ,浙江,CN-R-EC,华东,11840.13,2675.52,14515.65,17970.42,3454.77,43777.31,87.521,-6.907,2755.68,4875.07,财政部,2016-04-20,final
2016-01-01,2016,province,CN-AH,安徽,CN-R-EC,华东,6713.03,1576.57,8289.6,9680.81,1391.21,23992.17,83.444,-4.839,2096.56,2669.91,财政部,2016-04-20,final
2016-01-01,2016,province,CN-FJ,福建,CN-R-EC,华东,6743.17,1680.91,8424.08,10903.9,2479.82,24370.65,81.562,-8.299,1780.4,2861.04,财政部,2016-04-20,final
2016-01-01,2016,province,CN-JX,江西,CN-R-EC,华东,4424.25,1096.45,5520.7,6494.78,974.08,16417.14,88.441,-5.247,1462.87,1191.01,财政部,2016-04-20,final
2016-01-01,2016,province,CN-SD,山东,CN-R-EC,华东,15728.4,3444.81,19173.21,23832.4,4659.19,65153.52,92.78,-6.635,4198.48,6026.05,财政部,2016-04-20,final
2016-01-01,2016,province,CN-HA,河南,CN-R-CC,华中,8631.31,1990.84,10622.15,13078.82,2456.67,33952.24,96.179,-6.959,2402.5,3601.0,财政部,2016-04-20,final
2016-01-01,2016,province,CN-HB,湖北,CN-R-CC,华中,8519.75,1253.41,9773.16,13071.99,3298.83,29557.04,94.996,-10.602,1776.06,2995.28,财政部,2016-04-20,final
2016-01-01,2016,province,CN-HN,湖南,CN-R-CC,华中,7617.1,1022.25,8639.35,11123.4,2484.05,28718.31,99.761,-8.629,1860.02,2370.46,财政部,2016-04-20,final
2016-01-01,2016,province,CN-GD,广东,CN-R-SC,华南,17191.45,4852.16,22043.61,26965.57,4921.96,76487.61,100.853,-6.49,5049.95,6890.55,财政部,2016-04-20,final
2016-01-01,2016,province,CN-GX,广西,CN-R-SC,华南,3581.39,711.2,4292.59,5317.76,1025.17,13132.24,89.372,-6.977,1307.17,1114.04,财政部,2016-04-20,final
2016-01-01,2016,province,CN-HI,海南,CN-R-SC,华南,995.72,231.14,1226.86,1692.03,465.17,4275.23,94.368,-10.268,387.07,415.24,财政部,2016-04-20,final
2016-01-01,2016,province,CN-CQ,重庆,CN-R-SW,西南,4224.71,503.07,4727.78,6276.49,1548.71,17245.91,97.668,-8.771,946.96,2094.59,财政部,2016-04-20,final
2016-01-01,2016,province,CN-SC,四川,CN-R-SW,西南,8691.19,1914.6,10605.79,12800.26,2194.47,34099.22,92.118,-5.928,2044.65,3247.69,财政部,2016-04-20,final
2016-01-01,2016,province,CN-GZ,贵州,CN-R-SW,西南,3544.19,471.66,4015.85,5071.06,1055.21,12384.38,85.452,-7.281,914.35,1703.51,财政部,2016-04-20,final
2016-01-01,2016,province,CN-YN,云南,CN-R-SW,西南,3579.83,820.97,4400.8,5352.45,951.65,15757.74,96.97,-5.856,970.61,1865.7,财政部,2016-04-20,final
2016-01-01,2016,province,CN-XZ,西藏,CN-R-SW,西南,421.58,74.44,496.02,614.9,118.88,1816.19,105.316,-6.894,74.37,225.77,财政部,2016-04-20,final
2016-01-01,2016,province,CN-SN,陕西,CN-R-NW,西北,4962.27,880.25,5842.52,8043.83,2201.31,17502.92,85.126,-10.706,1344.33,1410.45,财政部,2016-04-20,final
2016-01-01,2016,province,CN-GS,甘肃,CN-R-NW,西北,1487.25,254.4,1741.65,2179.14,437.49,4844.92,81.288,-7.34,354.12,362.74,财政部,2016-04-20,final
2016-01-01,2016,province,CN-QH,青海,CN-R-NW,西北,647.02,163.95,810.97,1145.28,334.31,2538.94,92.612,-12.195,139.94,249.54,财政部,2016-04-20,final
2016-01-01,2016,province,CN-NX,宁夏,CN-R-NW,西北,901.93,209.06,1110.99,1585.1,474.11,3503.99,87.775,-11.876,235.24,274.85,财政部,2016-04-20,final
2016-01-01,2016,province,CN-XJ,新疆,CN-R-NW,西北,2521.38,374.01,2895.39,3702.56,807.17,7949.21,86.897,-8.824,632.77,1000.72,财政部,2016-04-20,final
2017-01-01,2017,national,CN,中国,,,170668.15,50531.85,221200,284800,63600.0,722000,86.775,-7.644,50602.54,70643.39,财政部,2017-04-21,final
2017-01-01,2017,region,CN-R-NC,华北,CN,中国,21868.83,4607.85,26476.68,33307.14,6830.46,88470.58,91.261,-7.046,7447.34,9596.94,财政部,2017-04-21,final
2017-01-01,2017,region,CN-R-NE,东北,CN,中国,8684.23,1680.81,10365.04,13215.44,2850.4,35582.56,91.977,-7.368,2364.63,3746.95,财政部,2017-04-21,final
2017-01-01,2017,region,CN-R-EC,华东,CN,中国,66339.87,22656.33,88996.2,116471.04,27474.84,282735.07,84.143,-8.177,19985.08,24872.68,财政部,2017-04-21,final
2017-01-01,2017,region,CN-R-CC,华中,CN,中国,20958.09,7191.21,28149.3,34613.34,6464.04,94860.33,85.626,-5.835,4871.67,8249.93,财政部,2017-04-21,final
2017-01-01,2017,region,CN-R-SC,华南,CN,中国,21855.94,5932.29,27788.23,36334.59,8546.36,91880.38,87.933,-8.179,5449.78,9342.92,财政部,2017-04-21,final
2017-01-01,2017,region,CN-R-SW,西南,CN,中国,20732.43,5427.13,26159.56,33726.81,7567.25,80789.97,83.618,-7.832,7348.69,10508.21,财政部,2017-04-21,final
2017-01-01,2017,region,CN-R-NW,西北,CN,中国,10228.77,3036.21,13264.98,17131.64,3866.66,47681.1,98.312,-7.973,3135.35,4325.77,财政部,2017-04-21,final
2017-01-01,2017,province,CN-BJ,北京,CN-R-NC,华北,6551.33,1221.65,7772.98,9309.15,1536.17,25201.15,85.488,-5.211,1519.27,2988.41,财政部,2017-04-21,final
2017-01-01,2017,province,CN-TJ,天津,CN-R-NC,华北,2492.77,602.0,3094.77,3615.84,521.07,9891.14,88.072,-4.64,864.13,1146.1,财政部,2017-04-21,final
2017-01-01,2017,province,CN-HE,河北,CN-R-NC,华北,6360.23,1401.96,7762.19,10264.84,2502.65,27316.67,96.03,-8.798,2796.07,2328.84,财政部,2017-04-21,final
2017-01-01,2017,province,CN-SX,山西,CN-R-NC,华北,3967.61,717.0,4684.61,5956.64,1272.03,14649.1,87.001,-7.555,1255.55,1769.33,财政部,2017-04-21,final
2017-01-01,2017,province,CN-NM,内蒙古,CN-R-NC,华北,2496.89,665.25,3162.14,4160.68,998.54,11412.52,104.24,-9.12,1012.32,1364.26,财政部,2017-04-21,final
2017-01-01,2017,province,CN-LN,辽宁,CN-R-NE,东北,4353.78,1038.55,5392.33,6925.3,1532.97,19077.75,95.46,-7.671,1100.04,1740.41,财政部,2017-04-21,final
2017-01-01,2017,province,CN-JL,吉林,CN-R-NE,东北,1757.92,287.14,2045.06,2483.54,438.48,7158.67,90.775,-5.56,467.55,966.24,财政部,2017-04-21,final
2017-01-01,2017,province,CN-HL,黑龙江,CN-R-NE,东北,2572.53,355.12,2927.65,3806.61,878.96,9346.13,86.419,-8.127,797.04,1040.3,财政部,2017-04-21,final
2017-01-01,2017,province,CN-SH,上海,CN-R-EC,华东,6035.71,2010.57,8046.28,11314.97,3268.69,26048.36,86.154,-10.811,1755.69,2756.86,财政部,2017-04-21,final
2017-01-01,2017,province,CN-JS,江苏,CN-R-EC,华东,15758.9,6266.51,22025.41,27593.08,5567.67,66626.99,77.423,-6.47,4640.31,5288.6,财政部,2017-04-21,final
2017-01-01,2017,province,CN-ZJ,浙江,CN-R-EC,华东,10877.94,4017.44,14895.38,20916.53,6021.15,49880.34,84.065,-10.148,3345.99,4038.15,财政部,2017-04-21,final
2017-01-01,2017,province,CN-AH,安徽,CN-R-EC,华东,6427.97,2177.81,8605.78,10871.55,2265.77,26389.23,81.659,-7.011,1729.36,1802.37,财政部,2017-04-21,final
2017-01-01,2017,province,CN-FJ,福建,CN-R-EC,华东,7388.28,1918.63,9306.91,12862.52,3555.61,29386.03,85.799,-10.381,2314.84,2620.17,财政部,2017-04-21,final
2017-01-01,2017,province,CN-JX,江西,CN-R-EC,华东,4082.7,1442.72,5525.42,6868.74,1343.32,17764.88,87.032,-6.581,986.16,1664.24,财政部,2017-04-21,final
2017-01-01,2017,province,CN-SD,山东,CN-R-EC,华东,15768.36,4822.67,20591.03,26043.65,5452.62,66639.24,90.773,-7.427,5212.73,6702.29,财政部,2017-04-21,final
2017-01-01,2017,province,CN-HA,河南,CN-R-CC,华中,7628.62,2679.24,10307.86,12860.48,2552.62,34471.79,86.289,-6.39,1689.94,2668.06,财政部,2017-04-21,final
2017-01-01,2017,province,CN-HB,湖北,CN-R-CC,华中,7421.86,2314.3,9736.16,11524.3,1788.14,30568.12,82.247,-4.811,1543.98,3070.13,财政部,2017-04-21,final
2017-01-01,2017,province,CN-HN,湖南,CN-R-CC,华中,5907.61,2197.67,8105.28,10228.57,2123.29,29820.43,88.571,-6.306,1637.75,2511.75,财政部,2017-04-21,final
2017-01-01,2017,province,CN-GD,广东,CN-R-SC,华南,17333.28,4545.24,21878.52,28145.98,6267.46,74566.55,89.929,-7.559,4379.47,7583.07,财政部,2017-04-21,final
2017-01-01,2017,province,CN-GX,广西,CN-R-SC,华南,3575.65,1034.49,4610.14,6388.86,1778.72,13119.85,78.572,-10.652,784.86,1388.09,财政部,2017-04-21,final
2017-01-01,2017,province,CN-HI,海南,CN-R-SC,华南,947.0,352.57,1299.57,1799.75,500.18,4193.99,86.044,-10.262,285.45,371.76,财政部,2017-04-21,final
2017-01-01,2017,province,CN-CQ,重庆,CN-R-SW,西南,4005.6,1085.4,5091.0,6088.14,997.14,16667.06,84.871,-5.078,1328.19,2181.8,财政部,2017-04-21,final
2017-01-01,2017,province,CN-SC,四川,CN-R-SW,西南,9420.27,2040.06,11460.33,15360.58,3900.25,33622.16,83.086,-9.638,3750.82,4759.61,财政部,2017-04-21,final
2017-01-01,2017,province,CN-GZ,贵州,CN-R-SW,西南,3307.67,985.82,4293.49,5149.21,855.72,12953.89,77.617,-5.127,1088.44,1716.16,财政部,2017-04-21,final
2017-01-01,2017,province,CN-YN,云南,CN-R-SW,西南,3587.84,1229.47,4817.31,6539.58,1722.27,16029.15,89.264,-9.591,1070.25,1670.28,财政部,2017-04-21,final
2017-01-01,2017,province,CN-XZ,西藏,CN-R-SW,西南,411.05,86.38,497.43,589.29,91.86,1517.71,81.311,-4.921,110.99,180.36,财政部,2017-04-21,final
2017-01-01,2017,province,CN-SN,陕西,CN-R-NW,西北,5095.99,1356.46,6452.45,8412.91,1960.46,22152.26,95.981,-8.494,1702.27,2203.12,财政部,2017-04-21,final
2017-01-01,2017,province,CN-GS,甘肃,CN-R-NW,西北,1464.53,382.38,1846.91,2370.52,523.61,6219.33,87.079,-7.331,456.61,543.55,财政部,2017-04-21,final
2017-01-01,2017,province,CN-QH,青海,CN-R-NW,西北,667.71,213.07,880.78,1216.65,335.87,3500.88,114.187,-10.955,176.91,368.62,财政部,2017-04-21,final
2017-01-01,2017,province,CN-NX,宁夏,CN-R-NW,西北,884.95,323.3,1208.25,1532.12,323.87,4725.04,111.117,-7.616,298.22,373.29,财政部,2017-04-21,final
2017-01-01,2017,province,CN-XJ,新疆,CN-R-NW,西北,2115.6,760.98,2876.58,3599.44,722.86,11083.58,101.133,-6.596,501.34,837.19,财政部,2017-04-21,final
2018-01-01,2018,national,CN,中国,,,175032.79,51367.21,226400,291600,65200.0,764000,83.108,-7.092,42461.48,74876.59,财政部,2018-04-21,final
2018-01-01,2018,region,CN-R-NC,华北,CN,中国,20187.69,7021.59,27209.28,34225.39,7016.11,100358.49,87.564,-6.122,3861.15,10216.06,财政部,2018-04-21,final
2018-01-01,2018,region,CN-R-NE,东北,CN,中国,7627.67,2694.69,10322.36,13427.27,3104.91,36669.69,85.116,-7.207,2268.16,3345.82,财政部,2018-04-21,final
2018-01-01,2018,region,CN-R-EC,华东,CN,中国,71448.84,18533.68,89982.52,114815.31,24832.79,291598.61,81.97,-6.981,16484.73,24261.04,财政部,2018-04-21,final
2018-01-01,2018,region,CN-R-CC,华中,CN,中国,21560.48,7531.54,29092.02,37176.33,8084.31,95807.07,79.496,-6.708,5375.22,11166.97,财政部,2018-04-21,final
2018-01-01,2018,region,CN-R-SC,华南,CN,中国,23636.3,6412.15,30048.45,39092.81,9044.36,97813.81,77.789,-7.193,6705.82,11148.02,财政部,2018-04-21,final
2018-01-01,2018,region,CN-R-SW,西南,CN,中国,19619.24,6884.07,26503.31,35738.73,9235.42,93071.53,88.929,-8.824,5524.67,10486.62,财政部,2018-04-21,final
2018-01-01,2018,region,CN-R-NW,西北,CN,中国,10952.57,2289.49,13242.06,17124.15,3882.09,48680.79,88.624,-7.067,2241.73,4252.06,财政部,2018-04-21,final
2018-01-01,2018,province,CN-BJ,北京,CN-R-NC,华北,6190.77,1831.99,8022.76,9972.72,1949.96,30773.29,89.441,-5.667,976.81,2756.6,财政部,2018-04-21,final
2018-01-01,2018,province,CN-TJ,天津,CN-R-NC,华北,2407.86,828.61,3236.47,4300.49,1064.02,11603.11,85.603,-7.85,639.33,1295.07,财政部,2018-04-21,final
2018-01-01,2018,province,CN-HE,河北,CN-R-NC,华北,5720.74,2409.72,8130.46,9847.47,1717.01,30181.88,90.628,-5.156,1205.21,3069.92,财政部,2018-04-21,final
2018-01-01,2018,province,CN-SX,山西,CN-R-NC,华北,3580.93,1008.57,4589.5,6232.34,1642.84,16851.42,86.695,-8.452,698.15,1748.28,财政部,2018-04-21,final
2018-01-01,2018,province,CN-NM,内蒙古,CN-R-NC,华北,2287.39,942.71,3230.1,3872.37,642.27,10948.79,78.709,-4.617,341.65,1346.19,财政部,2018-04-21,final
2018-01-01,2018,province,CN-LN,辽宁,CN-R-NE,东北,4089.67,1411.6,5501.27,7497.23,1995.96,19388.07,85.505,-8.803,1276.61,1783.62,财政部,2018-04-21,final
2018-01-01,2018,province,CN-JL,吉林,CN-R-NE,东北,1371.45,631.49,2002.94,2606.81,603.87,7947.76,90.877,-6.905,546.89,740.52,财政部,2018-04-21,final
2018-01-01,2018,province,CN-HL,黑龙江,CN-R-NE,东北,2166.55,651.6,2818.15,3323.23,505.08,9333.86,80.038,-4.331,444.66,821.68,财政部,2018-04-21,final
2018-01-01,2018,province,CN-SH,上海,CN-R-EC,华东,6153.18,1984.71,8137.89,10331.28,2193.39,25991.48,77.948,-6.578,1207.46,2344.47,财政部,2018-04-21,final
2018-01-01,2018,province,CN-JS,江苏,CN-R-EC,华东,18560.15,3844.8,22404.95,26731.0,4326.05,73070.88,80.051,-4.739,4603.75,4921.08,财政部,2018-04-21,final
2018-01-01,2018,province,CN-ZJ,浙江,CN-R-EC,华东,11905.82,3765.2,15671.02,19540.71,3869.69,49651.05,83.69,-6.523,3059.17,4652.44,财政部,2018-04-21,final
2018-01-01,2018,province,CN-AH,安徽,CN-R-EC,华东,6461.21,2162.3,8623.51,11665.15,3041.64,25990.76,76.931,-9.003,1485.63,1839.86,财政部,2018-04-21,final
2018-01-01,2018,province,CN-FJ,福建,CN-R-EC,华东,7030.72,1923.16,8953.88,11719.43,2765.55,28913.65,78.768,-7.534,1841.96,2977.54,财政部,2018-04-21,final
2018-01-01,2018,province,CN-JX,江西,CN-R-EC,华东,4669.68,1130.95,5800.63,8067.6,2266.97,18985.84,82.824,-9.889,931.75,1319.18,财政部,2018-04-21,final
2018-01-01,2018,province,CN-SD,山东,CN-R-EC,华东,16668.07,3722.58,20390.65,26760.15,6369.5,68994.94,88.035,-8.127,3355.01,6206.46,财政部,2018-04-21,final
2018-01-01,2018,province,CN-HA,河南,CN-R-CC,华中,7781.58,2604.01,10385.59,13708.97,3323.38,35434.8,81.241,-7.62,2302.69,4306.68,财政部,2018-04-21,final
2018-01-01,2018,province,CN-HB,湖北,CN-R-CC,华中,7565.28,2582.53,10147.81,12302.12,2154.31,31133.67,75.241,-5.206,1455.47,3375.08,财政部,2018-04-21,final
2018-01-01,2018,province,CN-HN,湖南,CN-R-CC,华中,6213.63,2344.99,8558.62,11165.24,2606.62,29238.6,82.309,-7.338,1617.06,3485.21,财政部,2018-04-21,final
2018-01-01,2018,province,CN-GD,广东,CN-R-SC,华南,18765.43,5145.33,23910.76,31304.38,7393.62,77182.7,76.941,-7.371,5435.83,8375.87,财政部,2018-04-21,final
2018-01-01,2018,province,CN-GX,广西,CN-R-SC,华南,3746.74,974.47,4721.21,5910.56,1189.35,15910.66,80.335,-6.005,980.88,2223.37,财政部,2018-04-21,final
2018-01-01,2018,province,CN-HI,海南,CN-R-SC,华南,1124.13,292.35,1416.48,1877.87,461.39,4720.45,83.947,-8.205,289.11,548.78,财政部,2018-04-21,final
2018-01-01,2018,province,CN-CQ,重庆,CN-R-SW,西南,3905.88,1244.07,5149.95,6363.44,1213.49,17635.64,85.52,-5.885,1031.67,1428.53,财政部,2018-04-21,final
2018-01-01,2018,province,CN-SC,四川,CN-R-SW,西南,8512.53,3186.96,11699.49,16302.51,4603.02,42998.04,92.348,-9.886,2738.77,5571.42,财政部,2018-04-21,final
2018-01-01,2018,province,CN-GZ,贵州,CN-R-SW,西南,3308.44,1168.33,4476.77,6116.15,1639.38,14754.44,86.428,-9.603,780.0,1451.22,财政部,2018-04-21,final
2018-01-01,2018,province,CN-YN,云南,CN-R-SW,西南,3504.39,1167.31,4671.7,6259.25,1587.55,15837.57,86.275,-8.648,859.5,1873.65,财政部,2018-04-21,final
2018-01-01,2018,province,CN-XZ,西藏,CN-R-SW,西南,387.99,117.41,505.4,697.39,191.99,1845.83,90.169,-9.379,114.74,161.81,财政部,2018-04-21,final
2018-01-01,2018,province,CN-SN,陕西,CN-R-NW,西北,5439.69,883.26,6322.95,8143.39,1820.44,21647.89,85.389,-7.181,1120.13,2023.78,财政部,2018-04-21,final
2018-01-01,2018,province,CN-GS,甘肃,CN-R-NW,西北,1482.12,387.59,1869.71,2355.64,485.93,7127.83,88.261,-6.017,230.27,571.31,财政部,2018-04-21,final
2018-01-01,2018,province,CN-QH,青海,CN-R-NW,西北,688.85,193.54,882.39,1124.42,242.03,3530.61,93.663,-6.421,160.71,289.68,财政部,2018-04-21,final
2018-01-01,2018,province,CN-NX,宁夏,CN-R-NW,西北,979.03,250.42,1229.45,1681.8,452.35,4777.51,96.916,-9.176,217.22,426.73,财政部,2018-04-21,final
2018-01-01,2018,province,CN-XJ,新疆,CN-R-NW,西北,2362.88,574.67,2937.55,3818.91,881.36,11596.95,90.584,-6.884,513.4,940.56,财政部,2018-04-21,final
2019-01-01,2019,national,CN,中国,,,174458.74,57141.26,231600,298400,66800.0,806000,81.343,-6.742,39661.35,63836.0,财政部,2019-04-21,final
2019-01-01,2019,region,CN-R-NC,华北,CN,中国,22163.44,5468.95,27632.39,34310.98,6678.59,88508.55,75.915,-5.728,5848.64,6232.37,财政部,2019-04-21,final
2019-01-01,2019,region,CN-R-NE,东北,CN,中国,8219.17,3080.85,11300.02,14162.81,2862.79,39470.16,82.863,-6.01,2372.23,2874.75,财政部,2019-04-21,final
2019-01-01,2019,region,CN-R-EC,华东,CN,中国,66714.15,25388.4,92102.55,122821.02,30718.47,332464.77,85.402,-7.891,14493.71,31736.73,财政部,2019-04-21,final
2019-01-01,2019,region,CN-R-CC,华中,CN,中国,22407.68,7565.57,29973.25,39535.1,9561.85,106057.48,78.113,-7.042,6639.73,7717.28,财政部,2019-04-21,final
2019-01-01,2019,region,CN-R-SC,华南,CN,中国,23487.12,6585.58,30072.7,38555.41,8482.71,95885.9,72.622,-6.425,4080.89,6959.93,财政部,2019-04-21,final
2019-01-01,2019,region,CN-R-SW,西南,CN,中国,21216.33,5925.29,27141.62,31859.94,4718.32,93260.51,82.708,-4.184,4367.27,5211.47,财政部,2019-04-21,final
2019-01-01,2019,region,CN-R-NW,西北,CN,中国,10250.85,3126.61,13377.46,17154.75,3777.29,50352.64,88.681,-6.653,1858.88,3103.48,财政部,2019-04-21,final
2019-01-01,2019,province,CN-BJ,北京,CN-R-NC,华北,6451.87,1997.71,8449.58,10229.33,1779.75,28196.46,82.987,-5.238,1423.96,2137.02,财政部,2019-04-21,final
2019-01-01,2019,province,CN-TJ,天津,CN-R-NC,华北,2666.56,500.19,3166.75,4052.39,885.64,10825.76,77.955,-6.377,581.36,794.66,财政部,2019-04-21,final
2019-01-01,2019,province,CN-HE,河北,CN-R-NC,华北,6384.03,1598.34,7982.37,9860.68,1878.31,24634.18,69.274,-5.282,1960.78,1527.44,财政部,2019-04-21,final
2019-01-01,2019,province,CN-SX,山西,CN-R-NC,华北,3841.99,915.4,4757.39,6136.57,1379.18,14711.59,75.739,-7.1,1020.65,1172.2,财政部,2019-04-21,final
